State,Average Income,Year,,,,,,,,,,,,
Alabama,162531.1,2010,,,,,,,,,,,,
Alaska,35452,2010,,,,,,,,,,,,
Arizona,216873.65,2010,,,,,,,,,,,,
Arkansas,94576.05,2010,,,,,,,,,,,,
California,1614040.75,2010,,,,,,,,,,,,
Colorado,205866.125,2010,,,,,,,,,,,,
Connecticut,221058.45,2010,,,,,,,,,,,,
Delaware,36837.8,2010,,,,,,,,,,,,
District of Columbia,38324.4,2010,,,,,,,,,,,,
Florida,732457.5,2010,,,,,,,,,,,,
Georgia,338275.525,2010,,,,,,,,,,,,
Hawaii,56751.1,2010,,,,,,,,,,,,
Idaho,50432.55,2010,,,,,,,,,,,,
Illinois,543084.275,2010,,,,,,,,,,,,
Indiana,231707.2,2010,,,,,,,,,,,,
Iowa,116906,2010,,,,,,,,,,,,
Kansas,114239.825,2010,,,,,,,,,,,,
Kentucky,145301.2,2010,,,,,,,,,,,,
Louisiana,173800.825,2010,,,,,,,,,,,,
Maine,50603.65,2010,,,,,,,,,,,,
Maryland,287652.425,2010,,,,,,,,,,,,
Massachusetts,347492.15,2010,,,,,,,,,,,,
Michigan,353316.275,2010,,,,,,,,,,,,
Minnesota,226957.05,2010,,,,,,,,,,,,
Mississippi,92933.225,2010,,,,,,,,,,,,
Missouri,222563.95,2010,,,,,,,,,,,,
Montana,36060.375,2010,,,,,,,,,,,,
Nebraska,75489.575,2010,,,,,,,,,,,,
Nevada,101307.025,2010,,,,,,,,,,,,
New Hampshire,62032.225,2010,,,,,,,,,,,,
New Jersey,449927.05,2010,,,,,,,,,,,,
New Mexico,69607.25,2010,,,,,,,,,,,,
New York,947076.525,2010,,,,,,,,,,,,
North Carolina,343348.325,2010,,,,,,,,,,,,
North Dakota,29880.8,2010,,,,,,,,,,,,
Ohio,425361.8,2010,,,,,,,,,,,,
Oklahoma,140140.35,2010,,,,,,,,,,,,
Oregon,138291.575,2010,,,,,,,,,,,,
Pennsylvania,537282.2,2010,,,,,,,,,,,,
Rhode Island,45116.2,2010,,,,,,,,,,,,
South Carolina,152230.55,2010,,,,,,,,,,,,
South Dakota,33804,2010,,,,,,,,,,,,
Tennessee,227882.975,2010,,,,,,,,,,,,
Texas,985165.125,2010,,,,,,,,,,,,
Utah,89439.15,2010,,,,,,,,,,,,
Vermont,26140.05,2010,,,,,,,,,,,,
Virginia,365245.475,2010,,,,,,,,,,,,
Washington,285579.875,2010,,,,,,,,,,,,
West Virginia,60753.8,2010,,,,,,,,,,,,
Wisconsin,222982.65,2010,,,,,,,,,,,,
Wyoming,26328.775,2010,,,,,,,,,,,,
Alabama,168474.325,2011,,,,,,,,,,,,
Alaska,37981.75,2011,,,,,,,,,,,,
Arizona,227700.075,2011,,,,,,,,,,,,
Arkansas,100739.25,2011,,,,,,,,,,,,
California,1715226.975,2011,,,,,,,,,,,,
Colorado,223492.65,2011,,,,,,,,,,,,
Connecticut,226907.1,2011,,,,,,,,,,,,
Delaware,39925,2011,,,,,,,,,,,,
District of Columbia,41395,2011,,,,,,,,,,,,
Florida,771409.45,2011,,,,,,,,,,,,
Georgia,361250.575,2011,,,,,,,,,,,,
Hawaii,59288.1,2011,,,,,,,,,,,,
Idaho,53273.725,2011,,,,,,,,,,,,
Illinois,569775.55,2011,,,,,,,,,,,,
Indiana,246494,2011,,,,,,,,,,,,
Iowa,125978.2,2011,,,,,,,,,,,,
Kansas,123558.8,2011,,,,,,,,,,,,
Kentucky,152218.75,2011,,,,,,,,,,,,
Louisiana,179073.45,2011,,,,,,,,,,,,
Maine,52789.05,2011,,,,,,,,,,,,
Maryland,303517.775,2011,,,,,,,,,,,,
Massachusetts,363396.35,2011,,,,,,,,,,,,
Michigan,373861.275,2011,,,,,,,,,,,,
Minnesota,242593.225,2011,,,,,,,,,,,,
Mississippi,96918,2011,,,,,,,,,,,,
Missouri,231646.325,2011,,,,,,,,,,,,
