COVID-19 Vaccinations in the United States
Date generated: Tue Apr 18 2023 10:45:52 GMT-0700 (Pacific Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
United States,976711975,294183,378254,674711945,203221,605944538,234666,270142789,81.4,238228680,92.3,230467642,69.4,204225229,79.1,505008545,85675750,313410420,39773960,31552000,1291300,N/A,18998381,232056215,20142530,366782280,35690430,85614,868527,58822256,95,51695428,94.3,183143476,334252,1782580,256486869,90.5,219851779,77.5,646464414,228014,344495,267972744,85.8,229289485,73.4,670301782,214658,312783,55577285,16.7,55475966,17.8,54145110,19.1,52209439,20.2,23317736,42.6,1968224,55818024
Alaska,2157135,294874,391096,1323782,180957,1173687,212793,535225,73.2,466957,84.7,477231,65.2,418353,75.8,1078465,N/A,718520,N/A,86200,6100,N/A,46348,469895,N/A,706245,N/A,324,1556,90819,95,81914,89.4,285969,312234,2355260,504598,82.9,452604,74.3,1259819,206909,354281,529901,77.9,474380,69.7,1314008,193104,317009,101885,13.9,101881,15,98926,16.2,94454,17.1,38774,42.3,N/A,N/A
Alabama,12280595,250462,321913,7005433,142875,6514889,170776,3191006,65.1,2933116,76.9,2610036,53.2,2415107,63.3,5842795,N/A,4797960,N/A,402500,23600,N/A,179854,2879887,N/A,3571136,N/A,783,924,839629,95,724744,85.3,2239479,263519,1445050,3106075,74.2,2552706,61,6848860,163579,293311,3181549,69,2606183,56.5,6986822,151597,266458,368958,7.5,368932,8,367125,8.8,359762,9.4,198492,23.4,N/A,N/A
Arkansas,8326200,275903,359252,4863329,161155,4425748,190959,2113229,70,1889810,81.5,1718910,57,1546669,66.7,4013840,N/A,3075220,N/A,265400,28700,N/A,126388,1928689,N/A,2468276,N/A,3716,4826,523884,95,440643,84.1,1500335,286388,1589330,2030086,79.4,1660515,64.9,4707574,184088,325592,2102288,74.3,1714317,60.6,4844010,171206,294281,326768,10.8,326671,11.5,322259,12.6,314166,13.6,173181,33.1,N/A,N/A
American Samoa,128480,271101,410021,115259,243203,85712,273534,46213,95,32789,95,42483,89.6,29946,95,100770,N/A,25000,N/A,600,N/A,N/A,580,25359,N/A,87459,N/A,N/A,1280,3314,95,2994,91.3,9483,289292,3919460,39588,95,36386,95,102443,277495,348024,46192,95,42482,95,115236,267307,298028,578,1.2,578,1.3,575,1.6,570,1.8,203,6.2,N/A,N/A
Arizona,19778350,271729,350774,14593301,200493,13024553,230994,5692250,78.2,4949001,87.8,4817050,66.2,4236632,75.1,10181440,N/A,6492920,N/A,621000,21300,N/A,387909,5187855,N/A,7813410,N/A,2319,58397,1347292,95,1187302,90.7,4438790,339193,1511380,5383650,86.7,4592534,74,13971775,225131,318694,5651280,82.5,4801807,70.1,14518143,211977,288780,1115802,15.3,1115723,16.3,1088874,17.5,1046558,18.6,509074,38.9,N/A,N/A
Bureau of Prisons,420170,N/A,N/A,347741,N/A,347739,N/A,155741,N/A,155739,N/A,141719,N/A,141718,N/A,199110,N/A,172520,N/A,16200,N/A,N/A,14831,156498,N/A,166530,N/A,N/A,38,4225,N/A,3822,N/A,11922,N/A,N/A,155739,N/A,141718,N/A,347739,N/A,N/A,155739,N/A,141718,N/A,347739,N/A,N/A,9824,N/A,9824,N/A,9824,N/A,9824,N/A,681,N/A,N/A,N/A
California,120071440,303884,392165,88190622,223198,78032141,254861,33579892,85,29070730,94.9,29570525,74.8,25670232,83.8,63064040,N/A,37596480,N/A,3784800,160500,N/A,2315723,29965275,N/A,47823408,N/A,10747,13017,6053334,95,5438080,93.1,20156036,345249,2056680,31604056,93.9,27944668,83.1,83938302,249473,356864,33238484,89.5,29357875,79.1,87488454,235637,323394,8020775,20.3,7998392,21.5,7777404,23.1,7455416,24.4,2790542,47.8,N/A,N/A
Colorado,17656855,306610,392443,12986889,225516,11575346,257275,4832322,83.9,4215842,93.7,4243671,73.7,3726356,82.8,9023755,N/A,5402640,N/A,501900,38000,N/A,347166,4488289,N/A,6828495,N/A,2860,21155,901890,95,817376,95,3151435,374097,2095990,4545025,92.1,4020435,81.5,12355338,250308,357711,4771746,87.9,4211381,77.6,12856396,236917,325380,1272816,22.1,1270012,23.4,1228550,24.9,1173796,26.1,460201,54.6,N/A,N/A
Connecticut,11850535,332387,417589,9015651,252873,8060576,284038,3665855,95,3221421,95,2964918,83.2,2600786,91.6,5881105,N/A,3950760,N/A,355800,9400,N/A,252785,3075269,N/A,4786185,N/A,729,1342,821911,95,653463,95,2470972,392066,1880310,3478180,95,2814864,90.6,8631923,277916,381543,3636241,95,2946827,87.1,8955466,264675,350237,896175,25.1,895011,26.5,876795,28.2,845248,29.8,376628,59.8,N/A,N/A
